protocol,nUavs,c2Control_delayMs_mean,c2Control_delayMs_std,c2Control_delayMs_count,c2Control_pdr_mean,c2Control_pdr_std,c2Control_pdr_count,c2Control_loss_mean,c2Control_loss_std,c2Control_loss_count,c2Control_throughputKbps_mean,c2Control_throughputKbps_std,c2Control_throughputKbps_count,c2Control_offeredLoadKbps_mean,c2Control_offeredLoadKbps_std,c2Control_offeredLoadKbps_count,c2Control_flowCount_mean,c2Control_flowCount_std,c2Control_flowCount_count,c2Control_successfulFlows_mean,c2Control_successfulFlows_std,c2Control_successfulFlows_count,c2Control_txPackets_mean,c2Control_txPackets_std,c2Control_txPackets_count,c2Control_rxPackets_mean,c2Control_rxPackets_std,c2Control_rxPackets_count,c2Command_delayMs_mean,c2Command_delayMs_std,c2Command_delayMs_count,c2Command_pdr_mean,c2Command_pdr_std,c2Command_pdr_count,c2Command_loss_mean,c2Command_loss_std,c2Command_loss_count,c2Command_throughputKbps_mean,c2Command_throughputKbps_std,c2Command_throughputKbps_count,c2Command_offeredLoadKbps_mean,c2Command_offeredLoadKbps_std,c2Command_offeredLoadKbps_count,c2Command_flowCount_mean,c2Command_flowCount_std,c2Command_flowCount_count,c2Command_successfulFlows_mean,c2Command_successfulFlows_std,c2Command_successfulFlows_count,c2Command_txPackets_mean,c2Command_txPackets_std,c2Command_txPackets_count,c2Command_rxPackets_mean,c2Command_rxPackets_std,c2Command_rxPackets_count,telemetry_delayMs_mean,telemetry_delayMs_std,telemetry_delayMs_count,telemetry_pdr_mean,telemetry_pdr_std,telemetry_pdr_count,telemetry_loss_mean,telemetry_loss_std,telemetry_loss_count,telemetry_throughputKbps_mean,telemetry_throughputKbps_std,telemetry_throughputKbps_count,telemetry_offeredLoadKbps_mean,telemetry_offeredLoadKbps_std,telemetry_offeredLoadKbps_count,telemetry_flowCount_mean,telemetry_flowCount_std,telemetry_flowCount_count,telemetry_successfulFlows_mean,telemetry_successfulFlows_std,telemetry_successfulFlows_count,telemetry_txPackets_mean,telemetry_txPackets_std,telemetry_txPackets_count,telemetry_rxPackets_mean,telemetry_rxPackets_std,telemetry_rxPackets_count,video_delayMs_mean,video_delayMs_std,video_delayMs_count,video_pdr_mean,video_pdr_std,video_pdr_count,video_loss_mean,video_loss_std,video_loss_count,video_throughputKbps_mean,video_throughputKbps_std,video_throughputKbps_count,video_offeredLoadKbps_mean,video_offeredLoadKbps_std,video_offeredLoadKbps_count,video_flowCount_mean,video_flowCount_std,video_flowCount_count,video_successfulFlows_mean,video_successfulFlows_std,video_successfulFlows_count,video_txPackets_mean,video_txPackets_std,video_txPackets_count,video_rxPackets_mean,video_rxPackets_std,video_rxPackets_count,routing_offeredLoadKbps_mean,routing_offeredLoadKbps_std,routing_offeredLoadKbps_count,routingBytesPerDeliveredAppByte_mean,routingBytesPerDeliveredAppByte_std,routingBytesPerDeliveredAppByte_count,routingPacketsPerDeliveredAppPacket_mean,routingPacketsPerDeliveredAppPacket_std,routingPacketsPerDeliveredAppPacket_count,routing_flowEntries_mean,routing_flowEntries_std,routing_flowEntries_count,routing_activeEntries_mean,routing_activeEntries_std,routing_activeEntries_count,routing_txPackets_mean,routing_txPackets_std,routing_txPackets_count,routing_rxPackets_mean,routing_rxPackets_std,routing_rxPackets_count,routing_txBytes_mean,routing_txBytes_std,routing_txBytes_count,routing_rxBytes_mean,routing_rxBytes_std,routing_rxBytes_count
AODV,5,47.854260800000006,53.21775240218661,5,60.9498912,9.956602386250898,5,39.0501088,9.956602386250902,5,44.122148800000005,7.20767001074669,5,72.390857,0.0,5,5.0,0.0,5,4.8,0.44721359549995787,5,6885.0,0.0,5,4196.4,685.512071374385,5,21.561243400000002,47.53745387879118,5,62.344164,10.32921176774656,5,37.655836,10.329211767746559,5,2.7063772,0.9914834327777243,5,4.2966858000000006,1.1244729996995035,5,5.0,0.0,5,4.4,0.547722557505166,5,241.0,63.071388124885914,5,151.8,55.61204905413934,5,414.6347544,316.3677690211897,5,69.4036696,9.208972353496092,5,30.5963304,9.208972353496092,5,21.5797026,2.8633484897226187,5,31.093029,0.0,5,5.0,0.0,5,4.8,0.44721359549995787,5,1744.0,0.0,5,1210.4,160.60448312547192,5,520.163373,542.8092959089786,5,70.920613,8.607264432426051,5,29.079386999999997,8.60726443242605,5,31.6922516,6.01899827004991,5,44.845257000000004,7.352643061770102,5,5.0,0.0,5,4.8,0.44721359549995787,5,373.0,61.155539405682624,5,263.6,50.06296035993077,5,0.23679999999999998,0.10221171848667843,5,0.0023712,0.0010925356744747514,5,0.0081232,0.0035346041786881873,5,16.8,3.4928498393145966,5,16.0,3.0000000000000004,5,48.0,21.224985276791124,5,46.0,19.6596032513375,5,2072.0,894.3545158380987,5,1990.4,841.6999465367692,5
AODV,8,16.443042,5.505907814546344,5,83.2297346,5.988754061797025,5,16.7702654,5.98875406179702,5,96.296137,6.928940641723129,5,115.69919999999999,0.0,5,8.0,0.0,5,8.0,0.0,5,11004.0,0.0,5,9158.6,659.0025037888704,5,4.6423008,6.1304189714841435,5,85.9200764,7.5421379508271595,5,14.0799236,7.542137950827159,5,5.762194200000001,0.9692743454333247,5,6.699977200000001,0.9674691958495112,5,8.0,0.0,5,8.0,0.0,5,375.8,54.265090067187764,5,323.2,54.36634988667163,5,132.690116,122.59862563908942,5,82.57532280000001,6.077822815188446,5,17.4246772,6.077822815188445,5,41.044937,3.021045979424348,5,49.706057,0.0,5,8.0,0.0,5,8.0,0.0,5,2788.0,0.0,5,2302.2,169.44969755063005,5,276.4003386,253.0499310660582,5,84.4193854,7.973982720817701,5,15.5806146,7.973982720817703,5,52.131108399999995,7.195958478081935,5,62.08603419999999,9.479243306656665,5,8.0,0.0,5,8.0,0.0,5,516.4,78.84351590333857,5,433.6,59.85231825084137,5,1.4390855999999999,0.3262602915040381,5,0.007363,0.001531466127604525,5,0.0231838,0.004674921090243129,5,51.2,5.06951674225463,5,49.6,4.8270073544588685,5,284.2,66.1566323205769,5,262.2,49.84676519093289,5,12592.0,2854.7773993781025,5,11582.0,2089.708592124749,5
AODV,10,12.1616558,6.996623188133057,5,84.621317,11.828039694674324,5,15.378683,11.828039694674324,5,122.2937598,17.093747569064917,5,144.518857,0.0,5,10.0,0.0,5,10.0,0.0,5,13745.0,0.0,5,11631.2,1625.7640357690286,5,11.3541002,9.797256112359557,5,86.12140600000001,8.816636519582882,5,13.878594000000001,8.816636519582879,5,6.6393602000000005,0.921980180862745,5,7.7055086,0.6730607975256019,5,10.0,0.0,5,9.8,0.44721359549995804,5,432.2,37.751821148124755,5,372.4,51.713634565750645,5,47.476274000000004,58.895526699633336,5,81.27512899999999,9.95549703654627,5,18.724871,9.955497036546266,5,50.4548574,6.180281462669181,5,62.079086,0.0,5,10.0,0.0,5,10.0,0.0,5,3482.0,0.0,5,2830.0,346.65040025939675,5,21.066612799999998,30.156374048813944,5,81.30870300000001,11.99184993222991,5,18.691297,11.991849932229911,5,70.86271980000001,12.378464205052591,5,87.74281140000001,13.147696459072169,5,10.0,0.0,5,9.8,0.44721359549995804,5,729.8,109.35584117915236,5,589.4,102.95775832835523,5,2.7632456000000003,1.0005173833556318,5,0.011080000000000001,0.0038529873475006376,5,0.0350756,0.011844121149329735,5,74.8,13.773162309360911,5,71.2,14.184498581197715,5,540.8,201.26524786957137,5,496.4,198.20141270939519,5,24178.4,8754.526075122514,5,22112.8,8628.10229424756,5
AODV,12,10.895463600000001,8.3206707531354,5,88.53779879999999,5.4679421133947335,5,11.4622012,5.467942113394736,5,153.4328686,9.475749837403272,5,173.296457,0.0,5,12.0,0.0,5,12.0,0.0,5,16482.0,0.0,5,14592.8,901.2262202133267,5,15.9105412,22.203796796095226,5,89.9684584,5.16562596383384,5,10.0315416,5.1656259638338415,5,9.720137,0.8350357885719631,5,10.8041142,0.6656528563197939,5,12.0,0.0,5,12.0,0.0,5,606.0,37.33630940518894,5,545.2,46.8369512244339,5,53.6494306,50.490246485248015,5,86.6283526,6.396471356841381,5,13.3716474,6.396471356841388,5,64.49664,4.7623080804267595,5,74.452114,0.0,5,12.0,0.0,5,12.0,0.0,5,4176.0,0.0,5,3617.6,267.11664118882595,5,28.3770574,25.891565691660713,5,85.8870804,5.740374321079356,5,14.112919599999998,5.740374321079358,5,81.0821484,19.57116560526335,5,93.63401139999999,17.295873404808095,5,12.0,0.0,5,12.0,0.0,5,778.8,143.8582635791215,5,674.4,162.7829843687601,5,4.0828342,1.0072561711752872,5,0.0135768,0.004652651631059433,5,0.0422936,0.013196238092729308,5,109.0,9.874208829065749,5,105.0,7.3824115301167,5,810.4,206.44926737578896,5,699.4,77.30006468302598,5,35724.8,8813.492451917116,5,31020.0,3504.826386570382,5
AODV,15,6.9308114000000005,1.7173321931135805,5,90.6948494,3.102185228278985,5,9.305150600000001,3.1021852282789784,5,196.24914280000002,6.712632529926578,5,216.38399999999996,0.0,5,15.0,0.0,5,15.0,0.0,5,20580.0,0.0,5,18665.0,638.4297142207594,5,4.406291,6.273538902620076,5,91.463735,2.8258866502667797,5,8.536265,2.82588665026678,5,11.3888914,0.5169361171032646,5,12.451474200000002,0.4103672184784015,5,15.0,0.0,5,14.8,0.44721359549995804,5,698.4,23.01738473415258,5,638.8,28.994827124851092,5,56.3109948,44.4853736846841,5,89.489835,6.05460970811608,5,10.510164999999999,6.054609708116081,5,83.18811439999999,5.628254493876127,5,92.958171,0.0,5,15.0,0.0,5,15.0,0.0,5,5214.0,0.0,5,4666.0,315.68734532762005,5,63.2277614,136.76854932183656,5,92.3509612,4.364984714990844,5,7.6490388,4.364984714990844,5,130.15945119999998,19.26521719385856,5,141.36475420000002,23.313866733187073,5,14.6,0.5477225575051662,5,14.2,0.8366600265340752,5,1175.8,193.91286703053,5,1082.6,160.23826010038928,5,8.3714744,1.651115340844122,5,0.0199258,0.00413032616145505,5,0.0650418,0.011640103165350387,5,172.0,9.137833441248535,5,166.0,11.467344941179713,5,1632.4,312.0213133745834,5,1528.4,337.67336288194247,5,73250.4,14447.26253654996,5,68621.6,15389.523670341458,5
AODV_ETX,5,63.400344,51.291639488981865,5,60.967320199999996,9.458441612384368,5,39.032679800000004,9.458441612384368,5,44.134765800000004,6.847046971116284,5,72.390857,0.0,5,5.0,0.0,5,4.8,0.44721359549995787,5,6885.0,0.0,5,4197.6,651.2137130005787,5,21.2631486,46.71786937741207,5,62.654623400000006,10.834670530027035,5,37.345376599999994,10.834670530027033,5,2.7242058,1.0220297143873558,5,4.2966858000000006,1.1244729996995035,5,5.0,0.0,5,4.4,0.547722557505166,5,241.0,63.071388124885914,5,152.8,57.32538704622935,5,381.3522408,282.5381929399865,5,68.95642219999999,9.401274425601972,5,31.0435778,9.401274425601974,5,21.44064,2.9231407997088508,5,31.093029,0.0,5,5.0,0.0,5,4.8,0.44721359549995787,5,1744.0,0.0,5,1202.6,163.9582263870892,5,505.1203166,517.0130240350718,5,70.54505420000001,8.947009289537887,5,29.454945799999997,8.947009289537887,5,31.4998856,5.943111031769033,5,44.845257000000004,7.352643061770102,5,5.0,0.0,5,4.8,0.44721359549995787,5,373.0,61.155539405682624,5,262.0,49.43177115985225,5,0.3263086,0.12035407093364145,5,0.0032714,0.0011845584831488905,5,0.0105316,0.003251191673832842,5,19.0,2.3452078799117153,5,17.8,1.9235384061671343,5,61.8,22.81885185542866,5,59.0,21.89748844045819,5,2855.2,1053.0979061796677,5,2728.0,1016.1869906665801,5
AODV_ETX,8,15.419189800000002,1.992974284375541,5,80.7633588,3.8808826730601833,5,19.2366412,3.880882673060177,5,93.4425598,4.49015034862027,5,115.69919999999999,0.0,5,8.0,0.0,5,8.0,0.0,5,11004.0,0.0,5,8887.2,427.05233871271594,5,3.8661634000000005,7.597645791127164,5,79.8639818,7.9734174998228795,5,20.136018200000002,7.973417499822878,5,5.3699658,1.0741179443709614,5,6.699977200000001,0.9674691958495112,5,8.0,0.0,5,8.0,0.0,5,375.8,54.265090067187764,5,301.2,60.24699162613848,5,98.9252854,88.89408853106514,5,77.015782,3.0476620532673087,5,22.984218,3.0476620532673073,5,38.2815086,1.5148725134447116,5,49.706057,0.0,5,8.0,0.0,5,8.0,0.0,5,2788.0,0.0,5,2147.2,84.96881780982947,5,165.98483460000003,233.0932615763178,5,77.24409920000001,3.7976322675059273,5,22.7559008,3.7976322675059246,5,47.754788399999995,6.035665850830115,5,62.08603419999999,9.479243306656665,5,8.0,0.0,5,8.0,0.0,5,516.4,78.84351590333857,5,397.2,50.20159360020358,5,2.0292114,0.4349077895006021,5,0.010971400000000001,0.0022850385773548767,5,0.032763799999999996,0.009060695817651093,5,53.0,3.8078865529319543,5,51.4,4.39317652729776,5,382.4,93.79925372837462,5,356.4,107.62109458651682,5,17755.6,3805.4441002332437,5,16455.2,4509.8271807243345,5
AODV_ETX,10,17.400866999999998,13.995197584877285,5,84.8526736,9.85841490768905,5,15.1473264,9.858414907689054,5,122.6281144,14.247268446540467,5,144.518857,0.0,5,10.0,0.0,5,10.0,0.0,5,13745.0,0.0,5,11663.0,1355.0391138266084,5,9.367846,8.621462718299922,5,85.6104294,7.860591953564269,5,14.389570600000003,7.860591953564268,5,6.5965714,0.8248482068297779,5,7.7055086,0.6730607975256019,5,10.0,0.0,5,9.8,0.44721359549995804,5,432.2,37.751821148124755,5,370.0,46.26553793051584,5,30.749023799999996,17.570464857448087,5,82.9638138,8.427911240354737,5,17.0361862,8.427911240354735,5,51.50317700000001,5.231970255785147,5,62.079086,0.0,5,10.0,0.0,5,10.0,0.0,5,3482.0,0.0,5,2888.8,293.45987800719877,5,21.085347199999998,33.61420224233026,5,84.1535074,8.980561871265202,5,15.8464926,8.980561871265198,5,73.3634742,10.324057697920992,5,87.74281140000001,13.147696459072169,5,10.0,0.0,5,9.8,0.44721359549995804,5,729.8,109.35584117915236,5,610.2,85.87025096038789,5,5.2447084,1.6184794461802103,5,0.0205878,0.006018095853340988,5,0.0612402,0.017430562303035437,5,77.4,13.371611720357425,5,74.6,12.91510743277035,5,954.2,289.3824459085243,5,916.0,279.07436284976086,5,45891.2,14161.694997421742,5,44045.6,13632.069498062281,5
AODV_ETX,12,11.531281199999999,11.898352791970837,5,87.9868948,5.001272288098667,5,12.0131052,5.0012722880986695,5,152.4781712,8.667027822573173,5,173.296457,0.0,5,12.0,0.0,5,12.0,0.0,5,16482.0,0.0,5,14502.0,824.3097112129637,5,9.035354,10.593984755712295,5,88.3203328,4.43224536670283,5,11.6796672,4.432245366702831,5,9.5561144,0.9540370172770023,5,10.8041142,0.6656528563197939,5,12.0,0.0,5,12.0,0.0,5,606.0,37.33630940518894,5,536.0,53.511680967803656,5,23.7667506,16.84799408135039,5,80.59387000000001,10.151090518125674,5,19.40613,10.151090518125677,5,60.003840000000004,7.5577016527858865,5,74.452114,0.0,5,12.0,0.0,5,12.0,0.0,5,4176.0,0.0,5,3365.6,423.90954223749196,5,22.151962,19.595157779073237,5,83.4940102,9.965951515403468,5,16.505989800000002,9.96595151540347,5,79.03826280000001,21.100302681454423,5,93.63401139999999,17.295873404808095,5,12.0,0.0,5,11.8,0.44721359549995804,5,778.8,143.8582635791215,5,657.4,175.50156694457175,5,9.130103,5.684232798810187,5,0.0314834,0.02174962779681528,5,0.0894156,0.06117824209471861,5,114.0,11.768602295939818,5,110.0,10.488088481701517,5,1663.8,1048.6034522163275,5,1569.2,1043.2169956437635,5,79888.4,49737.03978726518,5,75069.2,49336.59774650051,5
AODV_ETX,15,11.273034599999999,8.014447345910153,5,88.99708439999999,2.451840447393103,5,11.0029156,2.4518404473931006,5,192.5754516,5.305390253720062,5,216.38399999999996,0.0,5,15.0,0.0,5,15.0,0.0,5,20580.0,0.0,5,18315.6,504.5887434337001,5,9.5405016,9.831428344952874,5,89.7436354,3.4767725396681937,5,10.256364600000001,3.4767725396681897,5,11.1713826,0.4844321285828384,5,12.451474200000002,0.4103672184784015,5,15.0,0.0,5,15.0,0.0,5,698.4,23.01738473415258,5,626.6,27.17167642969421,5,37.1774082,36.70239125886849,5,84.3459916,4.14105870759124,5,15.6540084,4.141058707591248,5,78.40649140000001,3.8494521508378705,5,92.958171,0.0,5,15.0,0.0,5,15.0,0.0,5,5214.0,0.0,5,4397.8,215.91479801069676,5,51.942980999999996,101.20232070273222,5,84.7500708,5.104768152851429,5,15.2499292,5.104768152851429,5,119.48315440000002,18.298535939404957,5,141.36475420000002,23.313866733187073,5,14.6,0.5477225575051662,5,14.2,0.8366600265340752,5,1175.8,193.91286703053,5,993.8,152.19789748876298,5,22.1092114,11.932588634207637,5,0.0558902,0.0317385457401564,5,0.1646932,0.08882483512903358,5,189.4,12.218837915284743,5,184.6,12.95376393176902,5,3992.0,2134.691195465986,5,3821.0,2074.4111212582716,5,193455.6,104410.15227840633,5,185049.2,101461.21109665505,5
