protocol,run,nGcs,nUavs,nNodes,simTime,areaSize,txRange,nodeSpeed,nodeMinSpeed,fixedNodeSpeed,nodePause,uavMinAltitude,uavMaxAltitude,txPowerDbm,rxSensitivityDbm,appStart,appStop,remoteIdEnabled,telemetry_flowCount,telemetry_successfulFlows,telemetry_txPackets,telemetry_rxPackets,telemetry_pdr,telemetry_loss,telemetry_delayMs,telemetry_throughputKbps,telemetry_offeredLoadKbps,c2Control_flowCount,c2Control_successfulFlows,c2Control_txPackets,c2Control_rxPackets,c2Control_pdr,c2Control_loss,c2Control_delayMs,c2Control_throughputKbps,c2Control_offeredLoadKbps,c2Command_flowCount,c2Command_successfulFlows,c2Command_txPackets,c2Command_rxPackets,c2Command_pdr,c2Command_loss,c2Command_delayMs,c2Command_throughputKbps,c2Command_offeredLoadKbps,totalC2_flowCount,totalC2_successfulFlows,totalC2_txPackets,totalC2_rxPackets,totalC2_pdr,totalC2_loss,totalC2_delayMs,totalC2_throughputKbps,totalC2_offeredLoadKbps,video_flowCount,video_successfulFlows,video_txPackets,video_rxPackets,video_pdr,video_loss,video_delayMs,video_throughputKbps,video_offeredLoadKbps,routing_flowEntries,routing_activeEntries,routing_txPackets,routing_rxPackets,routing_txBytes,routing_rxBytes,routing_offeredLoadKbps,routingBytesPerDeliveredAppByte,routingPacketsPerDeliveredAppPacket,remoteId_txPackets,remoteId_rxCopies,remoteId_txBytes,remoteId_rxBytes,remoteId_avgReceivers,remoteId_receptionRatio,remoteId_offeredLoadKbps,remoteId_receivedCopyLoadKbps
AODV,1,1,5,6,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,5,5,1744,1335,76.548165,23.451835,499.661806,23.801143,31.093029,5,5,6885,4755,69.063181,30.936819,41.362506,49.995429,72.390857,5,5,247,178,72.064777,27.935223,106.597711,3.173486,4.403657,10,10,7132,4933,69.167134,30.832866,43.716422,53.168914,76.794514,5,5,398,225,56.532663,43.467337,1106.129095,27.051429,47.850971,19,17,60,57,2548,2404,0.291200,0.002799,0.009241,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,2,1,5,6,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,5,4,1744,1217,69.782110,30.217890,225.518375,21.697371,31.093029,5,4,6885,4587,66.623094,33.376906,7.052384,48.229029,72.390857,5,4,337,238,70.623145,29.376855,0.190795,4.243200,6.008229,10,8,7222,4825,66.809748,33.190252,6.713926,52.472229,78.399086,5,4,306,237,77.450980,22.549020,0.654423,28.494171,36.789943,17,17,49,47,2150,2054,0.245714,0.002393,0.007804,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,3,1,5,6,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,5,5,1744,1231,70.584862,29.415138,386.394944,21.946971,31.093029,5,5,6885,4633,67.291213,32.708787,11.523095,48.712686,72.390857,5,4,187,117,62.566845,37.433155,0.155387,2.085943,3.333943,10,9,7072,4750,67.166290,32.833710,11.243091,50.798629,75.724800,5,5,412,320,77.669903,22.330097,349.251952,38.473143,49.534171,17,16,39,38,1686,1638,0.192686,0.001732,0.006189,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,4,1,5,6,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,5,5,1744,940,53.899083,46.100917,897.816511,16.758857,31.093029,5,5,6885,3140,45.606391,54.393609,40.650980,33.014857,72.390857,5,4,253,117,46.245059,53.754941,0.139760,2.085943,4.510629,10,9,7138,3257,45.629028,54.370972,39.195710,35.100800,76.901486,5,5,439,316,71.981777,28.018223,1087.490809,37.992229,52.780343,11,11,18,18,804,804,0.091886,0.001023,0.003988,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,5,1,5,6,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,5,5,1744,1329,76.204128,23.795872,63.782136,23.694171,31.093029,5,5,6885,3867,56.165577,43.834423,138.682339,40.658743,72.390857,5,5,181,109,60.220994,39.779006,0.722564,1.943314,3.226971,10,10,7066,3976,56.269459,43.730541,134.900243,42.602057,75.617829,5,5,310,220,70.967742,29.032258,57.290586,26.450286,37.270857,20,19,74,70,3172,3052,0.362514,0.003909,0.013394,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,1,1,8,9,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2788,2391,85.760402,14.239598,132.964262,42.628114,49.706057,8,8,11004,9661,87.795347,12.204653,19.697090,101.578514,115.699200,8,8,367,328,89.373297,10.626703,0.291462,5.847771,6.543086,16,16,11371,9989,87.846276,12.153724,19.059884,107.426286,122.242286,8,8,550,496,90.181818,9.818182,401.651619,59.633371,66.125714,56,52,383,341,16744,14850,1.913600,0.009126,0.029745,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,2,1,8,9,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2788,2391,85.760402,14.239598,29.351997,42.628114,49.706057,8,8,11004,9362,85.078153,14.921847,12.261846,98.434743,115.699200,8,8,346,321,92.774566,7.225434,14.926429,5.722971,6.168686,16,16,11350,9683,85.312775,14.687225,12.350179,104.157714,121.867886,8,8,410,389,94.878049,5.121951,0.796943,46.768914,49.293714,56,55,290,276,12838,12208,1.467200,0.007580,0.023269,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,3,1,8,9,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2788,2485,89.131994,10.868006,28.667713,44.304000,49.706057,8,8,11004,9639,87.595420,12.404580,8.974797,101.347200,115.699200,8,8,417,383,91.846523,8.153477,5.696792,6.828343,7.434514,16,16,11421,10022,87.750635,12.249365,8.849525,108.175543,123.133714,8,8,515,424,82.330097,17.669903,10.364786,50.976914,61.917714,52,52,238,236,10484,10388,1.198171,0.005889,0.018405,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,4,1,8,9,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2788,2103,75.430416,24.569584,328.915034,37.493486,49.706057,8,8,11004,9070,82.424573,17.575427,21.683058,95.364571,115.699200,8,8,307,236,76.872964,23.127036,0.915424,4.207543,5.473371,16,16,11311,9306,82.273893,17.726107,21.156391,99.572114,121.172571,8,8,484,365,75.413223,24.586777,543.871889,43.883429,58.190629,47,44,299,247,13476,11046,1.540114,0.008511,0.025395,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,5,1,8,9,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2788,2141,76.793400,23.206600,143.551574,38.170971,49.706057,8,8,11004,8061,73.255180,26.744820,19.598419,84.755657,115.699200,8,8,442,348,78.733032,21.266968,1.381397,6.204343,7.880229,16,16,11446,8409,73.466713,26.533287,18.844522,90.960000,123.579429,8,8,623,494,79.293740,20.706260,425.316456,59.392914,74.902400,45,45,211,211,9418,9418,1.076343,0.005709,0.019105,0,0,0,0,0.000000,0.000000,0.000000,0.000000
