protocol,run,nGcs,nUavs,nNodes,simTime,areaSize,txRange,nodeSpeed,nodeMinSpeed,fixedNodeSpeed,nodePause,mobilityModel,randomWalkTime,gaussMarkovAlpha,gaussMarkovTimeStep,groupRadius,uavMinAltitude,uavMaxAltitude,txPowerDbm,rxSensitivityDbm,appStart,appStop,remoteIdEnabled,telemetry_flowCount,telemetry_successfulFlows,telemetry_txPackets,telemetry_rxPackets,telemetry_pdr,telemetry_loss,telemetry_delayMs,telemetry_throughputKbps,telemetry_offeredLoadKbps,c2Control_flowCount,c2Control_successfulFlows,c2Control_txPackets,c2Control_rxPackets,c2Control_pdr,c2Control_loss,c2Control_delayMs,c2Control_throughputKbps,c2Control_offeredLoadKbps,c2Command_flowCount,c2Command_successfulFlows,c2Command_txPackets,c2Command_rxPackets,c2Command_pdr,c2Command_loss,c2Command_delayMs,c2Command_throughputKbps,c2Command_offeredLoadKbps,totalC2_flowCount,totalC2_successfulFlows,totalC2_txPackets,totalC2_rxPackets,totalC2_pdr,totalC2_loss,totalC2_delayMs,totalC2_throughputKbps,totalC2_offeredLoadKbps,video_flowCount,video_successfulFlows,video_txPackets,video_rxPackets,video_pdr,video_loss,video_delayMs,video_throughputKbps,video_offeredLoadKbps,routing_flowEntries,routing_activeEntries,routing_txPackets,routing_rxPackets,routing_txBytes,routing_rxBytes,routing_offeredLoadKbps,routingBytesPerDeliveredAppByte,routingPacketsPerDeliveredAppPacket,remoteId_txPackets,remoteId_rxCopies,remoteId_txBytes,remoteId_rxBytes,remoteId_avgReceivers,remoteId_receptionRatio,remoteId_offeredLoadKbps,remoteId_receivedCopyLoadKbps
AODV,1,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,2635,75.674899,24.325101,150.158287,46.978286,62.079086,10,10,13745,9923,72.193525,27.806475,3.535378,104.333257,144.518857,10,9,374,302,80.748663,19.251337,0.297547,5.384229,6.667886,20,19,14119,10225,72.420143,27.579857,3.439748,109.717486,151.186743,10,9,805,595,73.913043,26.086957,16.818461,71.536000,96.784000,71,65,350,311,15660,13840,1.789714,0.007842,0.026013,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,2,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,3132,89.948306,10.051694,5.798649,55.839086,62.079086,10,10,13745,13084,95.190979,4.809021,8.360564,137.568914,144.518857,10,10,416,390,93.750000,6.250000,14.789479,6.953143,7.416686,20,20,14161,13474,95.148648,4.851352,8.546646,144.522057,151.935543,10,10,858,760,88.578089,11.421911,2.736993,91.373714,103.156114,93,91,668,625,29842,27900,3.410514,0.011690,0.038466,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,3,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,2704,77.656519,22.343481,12.507078,48.208457,62.079086,10,10,13745,12498,90.927610,9.072390,11.547704,131.407543,144.518857,10,10,466,425,91.201717,8.798283,4.694570,7.577143,8.308114,20,20,14211,12923,90.936598,9.063402,11.322325,138.984686,152.826971,10,10,670,539,80.447761,19.552239,6.550121,64.803200,80.553143,84,79,810,761,35608,33336,4.069486,0.016149,0.050105,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,4,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,2430,69.787478,30.212522,38.480603,43.323429,62.079086,10,10,13745,9808,71.356857,28.643143,21.963704,103.124114,144.518857,10,10,459,336,73.202614,26.797386,11.298026,5.990400,8.183314,20,20,14204,10144,71.416502,28.583498,21.610424,109.114514,152.702171,10,10,735,489,66.530612,33.469388,74.145506,58.791771,88.368000,68,67,527,478,24046,21726,2.748114,0.013010,0.040343,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,5,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,3249,93.308443,6.691557,30.436753,57.925029,62.079086,10,10,13745,12843,93.437614,6.562386,15.400929,135.034971,144.518857,10,10,446,409,91.704036,8.295964,25.690879,7.291886,7.951543,20,20,14191,13252,93.383130,6.616870,15.718510,142.326857,152.470400,10,10,581,564,97.074010,2.925990,5.081983,67.808914,69.852800,58,54,349,307,15736,13762,1.798400,0.006709,0.020451,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,1,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWALK2D,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,3,3482,163,4.681218,95.318782,76.285287,2.906057,62.079086,10,3,13745,508,3.695889,96.304111,7.194093,5.341257,144.518857,10,2,542,24,4.428044,95.571956,0.206231,0.427886,9.663086,20,5,14287,532,3.723665,96.276335,6.878851,5.769143,154.181943,10,2,911,46,5.049396,94.950604,0.583249,5.530514,109.528229,10,10,28,28,1260,1260,0.144000,0.010137,0.037787,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,2,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWALK2D,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,6,3482,963,27.656519,72.343481,130.424539,17.168914,62.079086,10,6,13745,3432,24.969080,75.030920,5.528866,36.085029,144.518857,10,6,461,180,39.045553,60.954447,0.289858,3.209143,8.218971,20,12,14206,3612,25.425876,74.574124,5.267786,39.294171,152.737829,10,6,878,274,31.207289,68.792711,233.297254,32.942629,105.560686,16,16,115,115,5198,5198,0.594057,0.006645,0.023716,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,3,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWALK2D,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,5,3482,1648,47.329121,52.670879,4.966149,29.381486,62.079086,10,5,13745,6543,47.602765,52.397235,3.274310,68.794971,144.518857,10,5,431,161,37.354988,62.645012,0.414602,2.870400,7.684114,20,10,14176,6704,47.291196,52.708804,3.205633,71.665371,152.202971,10,5,1045,405,38.755981,61.244019,1.246549,48.692571,125.638857,22,22,357,326,16376,14920,1.871543,0.012499,0.040767,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,4,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWALK2D,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,9,3482,2555,73.377369,26.622631,156.103298,45.552000,62.079086,10,9,13745,9552,69.494362,30.505638,11.489384,100.432457,144.518857,10,9,497,357,71.830986,28.169014,8.711909,6.364800,8.860800,20,18,14242,9909,69.575902,30.424098,11.389317,106.797257,153.379657,10,9,922,698,75.704989,24.295011,48.136753,83.919543,110.850743,35,35,430,429,19232,19184,2.197943,0.009303,0.032670,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV,5,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWALK2D,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,2480,71.223435,28.776565,67.768075,44.214857,62.079086,10,10,13745,9644,70.163696,29.836304,7.914776,101.399771,144.518857,10,9,488,351,71.926230,28.073770,0.305309,6.257829,8.700343,20,19,14233,9995,70.224127,29.775873,7.647551,107.657600,153.219200,10,10,673,429,63.744428,36.255572,2.965519,51.578057,80.913829,22,22,124,121,5428,5300,0.620343,0.003049,0.009609,0,0,0,0,0.000000,0.000000,0.000000,0.000000
